Time Period Benchmark Comparison,Header,Date,BM1,BM1Return,Consolidated,ConsolidatedReturn
Time Period Benchmark Comparison,Data,02/27/20,VT,-3.698416818,Consolidated,0
Time Period Benchmark Comparison,Data,02/28/20,VT,-0.323406549,Consolidated,0
Time Period Benchmark Comparison,Data,03/02/20,VT,2.74435582,Consolidated,0
Time Period Benchmark Comparison,Data,03/03/20,VT,-1.934210526,Consolidated,0
Time Period Benchmark Comparison,Data,03/04/20,VT,3.340936536,Consolidated,0
Time Period Benchmark Comparison,Data,03/05/20,VT,-2.856400935,Consolidated,0
Time Period Benchmark Comparison,Data,03/06/20,VT,-1.764234162,Consolidated,0
Time Period Benchmark Comparison,Data,03/09/20,VT,-7.891156463,Consolidated,0
Time Period Benchmark Comparison,Data,03/10/20,VT,4.534711965,Consolidated,0
Time Period Benchmark Comparison,Data,03/11/20,VT,-4.945598417,Consolidated,0
Time Period Benchmark Comparison,Data,03/12/20,VT,-10.227441653,Consolidated,0
Time Period Benchmark Comparison,Data,03/13/20,VT,7.96489485,Consolidated,0
Time Period Benchmark Comparison,Data,03/16/20,VT,-11.641104294,Consolidated,0
Time Period Benchmark Comparison,Data,03/17/20,VT,5.74553029,Consolidated,0
Time Period Benchmark Comparison,Data,03/18/20,VT,-6.369008536,Consolidated,0
Time Period Benchmark Comparison,Data,03/19/20,VT,0.981767181,Consolidated,0
Time Period Benchmark Comparison,Data,03/20/20,VT,-2.725694444,Consolidated,0
Time Period Benchmark Comparison,Data,03/23/20,VT,-2.372835981,Consolidated,0
Time Period Benchmark Comparison,Data,03/24/20,VT,9.140969163,Consolidated,0
Time Period Benchmark Comparison,Data,03/25/20,VT,2.287251934,Consolidated,0
Time Period Benchmark Comparison,Data,03/26/20,VT,5.064123644,Consolidated,0
Time Period Benchmark Comparison,Data,03/27/20,VT,-3.333333333,Consolidated,0
Time Period Benchmark Comparison,Data,03/30/20,VT,2.655010523,Consolidated,0
Time Period Benchmark Comparison,Data,03/31/20,VT,-0.961993376,Consolidated,0
Time Period Benchmark Comparison,Data,04/01/20,VT,-4.410828025,Consolidated,-0.001451818
Time Period Benchmark Comparison,Data,04/02/20,VT,2.048975512,Consolidated,0.041579873
Time Period Benchmark Comparison,Data,04/03/20,VT,-1.746653608,Consolidated,-0.033974046
Time Period Benchmark Comparison,Data,04/06/20,VT,6.130586476,Consolidated,0.125737472
Time Period Benchmark Comparison,Data,04/07/20,VT,0.375704446,Consolidated,0.02107459
Time Period Benchmark Comparison,Data,04/08/20,VT,2.401746725,Consolidated,0.076082635
Time Period Benchmark Comparison,Data,04/09/20,VT,1.858056655,Consolidated,0.073482532
Time Period Benchmark Comparison,Data,04/10/20,VT,0,Consolidated,0
Time Period Benchmark Comparison,Data,04/13/20,VT,-0.897129187,Consolidated,-0.016489592
Time Period Benchmark Comparison,Data,04/14/20,VT,2.398913699,Consolidated,0.093205854
Time Period Benchmark Comparison,Data,04/15/20,VT,-2.607926919,Consolidated,-0.130682516
Time Period Benchmark Comparison,Data,04/16/20,VT,0.393343419,Consolidated,-0.021660048
Time Period Benchmark Comparison,Data,04/17/20,VT,2.637130802,Consolidated,0.369042097
Time Period Benchmark Comparison,Data,04/20/20,VT,-1.497577448,Consolidated,-0.225985986
Time Period Benchmark Comparison,Data,04/21/20,VT,-2.832016694,Consolidated,-0.299062625
Time Period Benchmark Comparison,Data,04/22/20,VT,2.193587974,Consolidated,0.055076925
Time Period Benchmark Comparison,Data,04/23/20,VT,-0.075052537,Consolidated,0.051694162
Time Period Benchmark Comparison,Data,04/24/20,VT,1.096590056,Consolidated,0.178208676
Time Period Benchmark Comparison,Data,04/27/20,VT,1.693907875,Consolidated,0.5074841
Time Period Benchmark Comparison,Data,04/28/20,VT,0,Consolidated,-0.013199058
Time Period Benchmark Comparison,Data,04/29/20,VT,2.849210988,Consolidated,0.815021588
Time Period Benchmark Comparison,Data,04/30/20,VT,-1.534308851,Consolidated,-0.291413028
Time Period Benchmark Comparison,Data,05/01/20,VT,-2.597027846,Consolidated,-0.456132987
Time Period Benchmark Comparison,Data,05/04/20,VT,0.296252407,Consolidated,-0.132834666
Time Period Benchmark Comparison,Data,05/05/20,VT,0.708905627,Consolidated,0.0103798
Time Period Benchmark Comparison,Data,05/06/20,VT,-0.586596275,Consolidated,-0.198359045
Time Period Benchmark Comparison,Data,05/07/20,VT,1.35713232,Consolidated,0.157037005
Time Period Benchmark Comparison,Data,05/08/20,VT,1.761024596,Consolidated,0.530405263
Time Period Benchmark Comparison,Data,05/11/20,VT,-0.014302059,Consolidated,-0.412053511
Time Period Benchmark Comparison,Data,05/12/20,VT,-1.716492633,Consolidated,-0.517812503
Time Period Benchmark Comparison,Data,05/13/20,VT,-1.397176539,Consolidated,-0.487581797
Time Period Benchmark Comparison,Data,05/14/20,VT,0.457564576,Consolidated,0.633645286
Time Period Benchmark Comparison,Data,05/15/20,VT,0.191007934,Consolidated,-0.106280793
Time Period Benchmark Comparison,Data,05/18/20,VT,3.519577651,Consolidated,1.411161434
Time Period Benchmark Comparison,Data,05/19/20,VT,-1.005808188,Consolidated,-0.578555016
Time Period Benchmark Comparison,Data,05/20/20,VT,1.731539782,Consolidated,0.791761987
Time Period Benchmark Comparison,Data,05/21/20,VT,-0.858067239,Consolidated,-0.229893267
Time Period Benchmark Comparison,Data,05/22/20,VT,-0.099318956,Consolidated,-0.160827554
Time Period Benchmark Comparison,Data,05/25/20,VT,0,Consolidated,0
Time Period Benchmark Comparison,Data,05/26/20,VT,1.903138759,Consolidated,0.980848196
Time Period Benchmark Comparison,Data,05/27/20,VT,1.351916376,Consolidated,1.066775894
Time Period Benchmark Comparison,Data,05/28/20,VT,0.055005501,Consolidated,-0.245895884
Time Period Benchmark Comparison,Data,05/29/20,VT,0.219901045,Consolidated,-0.090336022
Time Period Benchmark Comparison,Data,06/01/20,VT,1.289083928,Consolidated,-0.052586447
Time Period Benchmark Comparison,Data,06/02/20,VT,1.110208503,Consolidated,0.261363608
Time Period Benchmark Comparison,Data,06/03/20,VT,1.780931976,Consolidated,0.486018343
Time Period Benchmark Comparison,Data,06/04/20,VT,-0.486778056,Consolidated,0.158421168
Time Period Benchmark Comparison,Data,06/05/20,VT,2.40613432,Consolidated,0.601774755
Time Period Benchmark Comparison,Data,06/08/20,VT,1.252259231,Consolidated,0.21373496
Time Period Benchmark Comparison,Data,06/09/20,VT,-1.045518297,Consolidated,-0.21498392
Time Period Benchmark Comparison,Data,06/10/20,VT,-0.296353563,Consolidated,-0.279387518
Time Period Benchmark Comparison,Data,06/11/20,VT,-5.699147066,Consolidated,-0.964417716
Time Period Benchmark Comparison,Data,06/12/20,VT,1.507468823,Consolidated,0.387031743
Time Period Benchmark Comparison,Data,06/15/20,VT,0.607533414,Consolidated,0.1779755
Time Period Benchmark Comparison,Data,06/16/20,VT,1.704240472,Consolidated,0.476236376
Time Period Benchmark Comparison,Data,06/17/20,VT,-0.145137881,Consolidated,-0.280456497
Time Period Benchmark Comparison,Data,06/18/20,VT,-0.092494715,Consolidated,-0.021947632
Time Period Benchmark Comparison,Data,06/19/20,VT,-0.462901733,Consolidated,-0.053956356
Time Period Benchmark Comparison,Data,06/22/20,VT,0.876959872,Consolidated,-0.096419128
Time Period Benchmark Comparison,Data,06/23/20,VT,0.410269984,Consolidated,0.070357681
Time Period Benchmark Comparison,Data,06/24/20,VT,-2.398840121,Consolidated,-0.495831494
Time Period Benchmark Comparison,Data,06/25/20,VT,1.120864281,Consolidated,0.545212794
Time Period Benchmark Comparison,Data,06/26/20,VT,-1.923076923,Consolidated,-0.732378291
Time Period Benchmark Comparison,Data,06/29/20,VT,1.198257081,Consolidated,0.3617443
Time Period Benchmark Comparison,Data,06/30/20,VT,0.645855759,Consolidated,0.327249422
Time Period Benchmark Comparison,Data,07/01/20,VT,0.668449198,Consolidated,-0.098087842
Time Period Benchmark Comparison,Data,07/02/20,VT,0.903054449,Consolidated,0.150746317
Time Period Benchmark Comparison,Data,07/03/20,VT,0,Consolidated,0
Time Period Benchmark Comparison,Data,07/06/20,VT,1.842590155,Consolidated,0.580405132
Time Period Benchmark Comparison,Data,07/07/20,VT,-1.176014474,Consolidated,-0.2202126
Time Period Benchmark Comparison,Data,07/08/20,VT,0.993853799,Consolidated,0.25584198
Time Period Benchmark Comparison,Data,07/09/20,VT,-0.634468471,Consolidated,-0.277521563
Time Period Benchmark Comparison,Data,07/10/20,VT,0.807922856,Consolidated,0.614990859
Time Period Benchmark Comparison,Data,07/13/20,VT,-0.801447777,Consolidated,0.176711157
Time Period Benchmark Comparison,Data,07/14/20,VT,1.172791243,Consolidated,0.529327654
