Time Period Benchmark Comparison,Header,Date,BM1,BM1Return,BM2,BM2Return,BM3,BM3Return,Consolidated,ConsolidatedReturn
Time Period Benchmark Comparison,Data,02/27/20,INDU,-4.400252396,SPX,-4.416327867,RUT,-3.518444049,Consolidated,0
Time Period Benchmark Comparison,Data,02/28/20,INDU,-1.314335125,SPX,-0.823832736,RUT,-1.414127595,Consolidated,0
Time Period Benchmark Comparison,Data,03/02/20,INDU,5.092454119,SPX,4.603922524,RUT,2.85217975,Consolidated,0
Time Period Benchmark Comparison,Data,03/03/20,INDU,-2.943117185,SPX,-2.810794019,RUT,-2.130827446,Consolidated,0
Time Period Benchmark Comparison,Data,03/04/20,INDU,4.52765149,SPX,4.220259242,RUT,3.041245677,Consolidated,0
Time Period Benchmark Comparison,Data,03/05/20,INDU,-3.578993063,SPX,-3.392202216,RUT,-3.410220697,Consolidated,0
Time Period Benchmark Comparison,Data,03/06/20,INDU,-0.981958005,SPX,-1.70539098,RUT,-1.995511433,Consolidated,0
Time Period Benchmark Comparison,Data,03/09/20,INDU,-7.764222236,SPX,-7.596968076,RUT,-9.360321235,Consolidated,0
Time Period Benchmark Comparison,Data,03/10/20,INDU,4.893459483,SPX,4.939633578,RUT,2.856973444,Consolidated,0
Time Period Benchmark Comparison,Data,03/11/20,INDU,-5.814856089,SPX,-4.886841092,RUT,-6.40715302,Consolidated,0
Time Period Benchmark Comparison,Data,03/12/20,INDU,-9.988443194,SPX,-9.511268047,RUT,-11.154426337,Consolidated,0
Time Period Benchmark Comparison,Data,03/13/20,INDU,9.430101573,SPX,9.287119453,RUT,7.729253204,Consolidated,0
Time Period Benchmark Comparison,Data,03/16/20,INDU,-12.926546713,SPX,-11.984050284,RUT,-14.210916194,Consolidated,0
Time Period Benchmark Comparison,Data,03/17/20,INDU,5.19532883,SPX,5.995482224,RUT,6.665844271,Consolidated,0
Time Period Benchmark Comparison,Data,03/18/20,INDU,-6.302378165,SPX,-5.183082331,RUT,-10.422221308,Consolidated,0
Time Period Benchmark Comparison,Data,03/19/20,INDU,0.964534759,SPX,0.470789375,RUT,6.827386194,Consolidated,0
Time Period Benchmark Comparison,Data,03/20/20,INDU,-4.546230707,SPX,-4.335952253,RUT,-4.235985489,Consolidated,0
Time Period Benchmark Comparison,Data,03/23/20,INDU,-3.03562432,SPX,-2.929385836,RUT,-1.129276676,Consolidated,0
Time Period Benchmark Comparison,Data,03/24/20,INDU,11.365038487,SPX,9.38276571,RUT,9.395971836,Consolidated,0
Time Period Benchmark Comparison,Data,03/25/20,INDU,2.393828324,SPX,1.15350198,RUT,1.260781812,Consolidated,0
Time Period Benchmark Comparison,Data,03/26/20,INDU,6.375400638,SPX,6.241416084,RUT,6.311401656,Consolidated,0
Time Period Benchmark Comparison,Data,03/27/20,INDU,-4.058988559,SPX,-3.368731631,RUT,-4.09191422,Consolidated,0
Time Period Benchmark Comparison,Data,03/30/20,INDU,3.192249494,SPX,3.351603599,RUT,2.380461365,Consolidated,0
Time Period Benchmark Comparison,Data,03/31/20,INDU,-1.837735383,SPX,-1.601279196,RUT,-0.439532874,Consolidated,0
Time Period Benchmark Comparison,Data,04/01/20,INDU,-4.442409509,SPX,-4.414239783,RUT,-7.025050581,Consolidated,-0.001451818
Time Period Benchmark Comparison,Data,04/02/20,INDU,2.269380825,SPX,2.282938676,RUT,1.292464417,Consolidated,0.041579873
Time Period Benchmark Comparison,Data,04/03/20,INDU,-1.65660912,SPX,-1.513712454,RUT,-3.1073746,Consolidated,-0.033974046
Time Period Benchmark Comparison,Data,04/06/20,INDU,7.7304723,SPX,7.033130412,RUT,8.246055284,Consolidated,0.125737472
Time Period Benchmark Comparison,Data,04/07/20,INDU,-0.115211691,SPX,-0.160304541,RUT,0.037868751,Consolidated,0.02107459
Time Period Benchmark Comparison,Data,04/08/20,INDU,3.441841699,SPX,3.405642605,RUT,4.615860056,Consolidated,0.076082635
Time Period Benchmark Comparison,Data,04/09/20,INDU,1.237617657,SPX,1.448737809,RUT,4.627418299,Consolidated,0.073482532
Time Period Benchmark Comparison,Data,04/10/20,INDU,0,SPX,0,RUT,0,Consolidated,0
Time Period Benchmark Comparison,Data,04/13/20,INDU,-1.385365632,SPX,-1.010459456,RUT,-2.782006632,Consolidated,-0.016489592
Time Period Benchmark Comparison,Data,04/14/20,INDU,2.389788793,SPX,3.05725242,RUT,2.091261029,Consolidated,0.093205854
Time Period Benchmark Comparison,Data,04/15/20,INDU,-1.859768115,SPX,-2.203045614,RUT,-4.309513203,Consolidated,-0.130682516
Time Period Benchmark Comparison,Data,04/16/20,INDU,0.141803538,SPX,0.581671074,RUT,-0.491134456,Consolidated,-0.021660048
Time Period Benchmark Comparison,Data,04/17/20,INDU,3.024405974,SPX,2.679359183,RUT,4.330348641,Consolidated,0.369042097
Time Period Benchmark Comparison,Data,04/20/20,INDU,-2.442199626,SPX,-1.788099744,RUT,-1.280983453,Consolidated,-0.225985986
Time Period Benchmark Comparison,Data,04/21/20,INDU,-2.670394293,SPX,-3.067484663,RUT,-2.327022338,Consolidated,-0.299062625
Time Period Benchmark Comparison,Data,04/22/20,INDU,1.985066172,SPX,2.293024819,RUT,1.38638243,Consolidated,0.055076925
Time Period Benchmark Comparison,Data,04/23/20,INDU,0.191103016,SPX,-0.053941864,RUT,1.046283425,Consolidated,0.051694162
Time Period Benchmark Comparison,Data,04/24/20,INDU,1.105707528,SPX,1.391807849,RUT,1.565414702,Consolidated,0.178208676
Time Period Benchmark Comparison,Data,04/27/20,INDU,1.507911372,SPX,1.47140732,RUT,3.960194736,Consolidated,0.5074841
Time Period Benchmark Comparison,Data,04/28/20,INDU,-0.133547252,SPX,-0.524235013,RUT,1.26420767,Consolidated,-0.013199058
Time Period Benchmark Comparison,Data,04/29/20,INDU,2.208613139,SPX,2.658387436,RUT,4.834228628,Consolidated,0.815021588
Time Period Benchmark Comparison,Data,04/30/20,INDU,-1.169690824,SPX,-0.921241976,RUT,-3.678766986,Consolidated,-0.291413028
Time Period Benchmark Comparison,Data,05/01/20,INDU,-2.554987078,SPX,-2.805904348,RUT,-3.825320601,Consolidated,-0.456132987
Time Period Benchmark Comparison,Data,05/04/20,INDU,0.109890156,SPX,0.424981718,RUT,0.278084539,Consolidated,-0.132834666
Time Period Benchmark Comparison,Data,05/05/20,INDU,0.561395147,SPX,0.904057353,RUT,0.756964767,Consolidated,0.0103798
Time Period Benchmark Comparison,Data,05/06/20,INDU,-0.905188566,SPX,-0.697940344,RUT,-0.819993561,Consolidated,-0.198359045
Time Period Benchmark Comparison,Data,05/07/20,INDU,0.966589815,SPX,1.150462362,RUT,1.587852175,Consolidated,0.157037005
Time Period Benchmark Comparison,Data,05/08/20,INDU,1.931044246,SPX,1.687150101,RUT,3.652078411,Consolidated,0.530405263
Time Period Benchmark Comparison,Data,05/11/20,INDU,-0.449338548,SPX,0.017748652,RUT,-0.629975978,Consolidated,-0.412053511
Time Period Benchmark Comparison,Data,05/12/20,INDU,-1.862947677,SPX,-2.054383139,RUT,-3.452824619,Consolidated,-0.517812503
Time Period Benchmark Comparison,Data,05/13/20,INDU,-2.166028888,SPX,-1.746268449,RUT,-3.310145696,Consolidated,-0.487581797
Time Period Benchmark Comparison,Data,05/14/20,INDU,1.637252629,SPX,1.15248227,RUT,0.373630348,Consolidated,0.633645286
Time Period Benchmark Comparison,Data,05/15/20,INDU,0.254303218,SPX,0.392638037,RUT,1.584068251,Consolidated,-0.106280793
Time Period Benchmark Comparison,Data,05/18/20,INDU,3.88761525,SPX,3.150120474,RUT,6.105528118,Consolidated,1.411161434
Time Period Benchmark Comparison,Data,05/19/20,INDU,-1.574851295,SPX,-1.04844088,RUT,-1.942671792,Consolidated,-0.578555016
Time Period Benchmark Comparison,Data,05/20/20,INDU,1.538976968,SPX,1.665104313,RUT,3.005546299,Consolidated,0.791761987
Time Period Benchmark Comparison,Data,05/21/20,INDU,-0.373129773,SPX,-0.777356383,RUT,0.054680023,Consolidated,-0.229893267
Time Period Benchmark Comparison,Data,05/22/20,INDU,-0.008306734,SPX,0.235373121,RUT,0.594467478,Consolidated,-0.160827554
Time Period Benchmark Comparison,Data,05/25/20,INDU,0,SPX,0,RUT,0,Consolidated,0
Time Period Benchmark Comparison,Data,05/26/20,INDU,2.166141566,SPX,1.22891607,RUT,2.77064855,Consolidated,0.980848196
Time Period Benchmark Comparison,Data,05/27/20,INDU,2.213072877,SPX,1.482734301,RUT,3.108054561,Consolidated,1.066775894
Time Period Benchmark Comparison,Data,05/28/20,INDU,-0.559055466,SPX,-0.210794663,RUT,-2.476081868,Consolidated,-0.245895884
