Symbol,TradeDate,Buy/Sell,TradePrice,QuantityVisual
8TRA.DE,6/6/24,BUY,33.95,5.94530321
8TRA.DE,6/6/24,BUY,35.05,13.37693222
8TRA.DE,6/7/24,BUY,32.9,16.34958383
8TRA.DE,7/25/24,BUY,28.35,22.29488704
8TRA.DE,8/13/24,BUY,26.8,34.18549346
8TRA.DE,11/7/24,SELL,31.75,25.26753864
8TRA.DE,2/13/25,SELL,32.55,19.05469679
8TRA.DE,2/18/25,SELL,36,17.7764566
8TRA.DE,2/19/25,BUY,34.65,18.60879905
8TRA.DE,2/19/25,BUY,34.65,19.4411415
8TRA.DE,2/19/25,BUY,34.65,20.50386445
8TRA.DE,2/21/25,BUY,34.25,21.69292509
8TRA.DE,2/24/25,SELL,35,20.50386445
8TRA.DE,2/25/25,SELL,35.6,19.3148038
8TRA.DE,2/25/25,SELL,36,18.48246136
8TRA.DE,2/25/25,SELL,36.3,17.65011891
8TRA.DE,2/26/25,SELL,36.55,16.81777646
8TRA.DE,2/26/25,SELL,36.95,15.98543401
8TRA.DE,2/27/25,BUY,35.9,17.70957194
8TRA.DE,2/27/25,BUY,35.9,19.43370987
8TRA.DE,2/27/25,BUY,35.9,21.1578478
8TRA.DE,2/28/25,BUY,35.6,22.88198573
8TRA.DE,3/4/25,BUY,35,24.60612366
8TRA.DE,3/6/25,SELL,37.5,23.42449465
8TRA.DE,3/10/25,BUY,36.25,26.75386445
8TRA.DE,3/10/25,BUY,36.6,28.41854935
8TRA.DE,3/11/25,BUY,34.25,30.17241379
8TRA.DE,3/13/25,BUY,33.4,31.45065398
8TRA.DE,3/13/25,BUY,33.25,32.63971463
8TRA.DE,3/13/25,BUY,32.85,33.73959572
8TRA.DE,3/13/25,BUY,33.25,35.58263971
8TRA.DE,3/19/25,BUY,33.1,37.45541023
8TRA.DE,3/20/25,BUY,32.85,39.29845422
8TRA.DE,3/20/25,BUY,32.35,41.14149822
8TRA.DE,3/20/25,BUY,32.35,45.0059453
8TRA.DE,3/27/25,BUY,32.35,46.93816885
8TRA.DE,3/28/25,BUY,32.3,48.87039239
8TRA.DE,3/31/25,BUY,31.5,50.80261593
8TRA.DE,4/3/25,BUY,30.55,52.73483948
8TRA.DE,4/4/25,BUY,28.65,61.65279429
8TRA.DE,5/13/25,SELL,32.14,58.68014269
8TRA.DE,5/29/25,SELL,31.5,56.42092747
8TRA.DE,6/6/25,BUY,29.3,57.75862069
8TRA.DE,6/12/25,BUY,28.7,58.6117717
8TRA.DE,6/12/25,BUY,28.82,63.07966706
8TRA.DE,6/25/25,BUY,27.64,66.34958383
8TRA.DE,7/9/25,SELL,29.8,63.97146254
8TRA.DE,7/10/25,SELL,30.8,61.59334126
8TRA.DE,7/23/25,SELL,32.34,57.72889417
8TRA.DE,7/23/25,SELL,32.86,55.46967895
8TRA.DE,7/25/25,BUY,31.58,58.44233056
8TRA.DE,8/4/25,BUY,29.32,67.36028537
8TRA.DE,8/6/25,BUY,29.8,69.29250892
8TRA.DE,9/2/25,BUY,30.82,71.37336504
8TRA.DE,9/22/25,BUY,29.06,73.48394768
8TRA.DE,9/25/25,BUY,28.36,75.26753864
8TRA.DE,9/26/25,BUY,27.44,78.83472057
8TRA.DE,10/7/25,BUY,27.16,82.72889417
8TRA.DE,10/7/25,BUY,26.82,87.18787158
8TRA.DE,10/7/25,BUY,27.08,96.1058264
8TRA.DE,10/17/25,BUY,26,100
8TRA.DE,10/23/25,SELL,26.18,82.16409037
8TRA.DE,10/23/25,SELL,26.16,58.38287753
8TRA.DE,10/23/25,SELL,26.12,37.57431629
8TRA.DE,10/23/25,SELL,26.1,22.71105826
8TRA.DE,11/3/25,SELL,28.34,20.24375743
8TRA.DE,12/11/25,SELL,29.8,17.7764566
8TRA.DE,12/15/25,SELL,30.98,15.30915577
8TRA.DE,1/2/26,SELL,30.86,12.7824019
8TRA.DE,1/6/26,SELL,32.14,10.99881094
8TRA.DE,1/20/26,BUY,29.8,13.07966706
8TRA.DE,1/20/26,BUY,29.06,14.86325803
8TRA.DE,1/28/26,SELL,32.14,12.69322235
8TRA.DE,2/2/26,SELL,33.04,10.52318668
8TRA.DE,2/3/26,SELL,33.58,8.353151011
8TRA.DE,2/3/26,SELL,34.04,6.004756243
8TRA.DE,2/4/26,SELL,35.94,3.804994055
8TRA.DE,2/11/26,SELL,36.66,1.605231867
8TRA.DE,2/12/26,SELL,37.1,-0.594530321
8TRA.DE,2/20/26,BUY,36.46,5.350772889
8TRA.DE,3/9/26,BUY,30.52,7.550535077
8TRA.DE,3/19/26,BUY,29.72,10.87990488
8TRA.DE,3/19/26,BUY,29.06,14.20927467
8TRA.DE,4/8/26,SELL,32.14,10.93935791
8TRA.DE,4/8/26,SELL,33.04,8.442330559
8TRA.DE,4/8/26,SELL,33.58,6.92627824
8TRA.DE,4/28/26,BUY,30.82,9.898929845
8TRA.DE,5/7/26,SELL,34.04,7.401902497
AAPL,1/15/21,BUY,127.14,60.22727273
AAPL,1/22/21,SELL,139.35,55.25568182
AAPL,2/3/21,SELL,137.21,42.47159091
AAPL,2/18/21,BUY,127.67,59.51704545
AAPL,2/23/21,BUY,118.45,77.27272727
AAPL,2/23/21,BUY,122.17,100
AAPL,3/2/21,SELL,128.21,77.27272727
AAPL,3/4/21,BUY,118.75,85.79545455
AAPL,3/25/21,BUY,119.41,97.86931818
AAPL,4/9/21,SELL,131.81,80.82386364
AAPL,4/28/21,SELL,136.45,70.88068182
AAPL,5/11/21,BUY,123.37,85.08522727
