labels,parents,values,names,color,currency
8TRA.DE,Industrials,2.572060787,Traton SE,2.572060787,EUR
AAPL,Technology,0.179032425,Apple Inc.,0.179032425,USD
ADBE,Technology,1.839739992,Adobe Inc.,1.839739992,USD
AMD,Technology,0.096428438,"Advanced Micro Devices, Inc.",0.096428438,USD
ASML,Technology,2.471735413,ASML Holding N.V.,2.471735413,USD
BAC,Financial Services,0.070935496,Bank of America Corporation,0.070935496,USD
BARC.L,Financial Services,2.383181611,Barclays PLC,2.383181611,GBp
BRK-B,Financial Services,2.045811594,Berkshire Hathaway Inc.,2.045811594,USD
C,Financial Services,0.201568393,Citigroup Inc.,0.201568393,USD
CAT,Industrials,1.588704053,Caterpillar Inc.,1.588704053,USD
CSCO,Technology,0.076493439,"Cisco Systems, Inc.",0.076493439,USD
CSX,Industrials,0.004694628,CSX Corporation,0.004694628,USD
DB,Financial Services,0.245484639,Deutsche Bank Aktiengesellschaft,0.245484639,USD
DBK.DE,Financial Services,4.934045969,Deutsche Bank Aktiengesellschaft,4.934045969,EUR
ETL.PA,Technology,4.502743141,Eutelsat Communications S.A.,4.502743141,EUR
GOOG,Communication Services,0.075951459,Alphabet Inc.,0.075951459,USD
GS,Financial Services,0.104977893,"The Goldman Sachs Group, Inc.",0.104977893,USD
HAG.F,Industrials,5.092846501,Hensoldt AG,5.092846501,EUR
HPQ,Technology,0.473487796,HP Inc.,0.473487796,USD
IBKR,Financial Services,1.914688525,"Interactive Brokers Group, Inc.",1.914688525,USD
IFX.DE,Technology,5.766298937,Infineon Technologies AG,5.766298937,EUR
JNJ,Healthcare,1.905574509,Johnson & Johnson,1.905574509,USD
JPM,Financial Services,0.083855321,JPMorgan Chase & Co.,0.083855321,USD
MA,Financial Services,0.073418239,Mastercard Incorporated,0.073418239,USD
MOS,Basic Materials,1.969488188,The Mosaic Company,1.969488188,USD
MSFT,Technology,0.066751099,Microsoft Corporation,0.066751099,USD
MTX.DE,Industrials,9.01819144,MTU Aero Engines AG,9.01819144,EUR
NOK,Technology,1.846448312,Nokia Oyj,1.846448312,USD
NVDA,Technology,0.439951512,NVIDIA Corporation,0.439951512,USD
PYPL,Financial Services,0.026752246,"PayPal Holdings, Inc.",0.026752246,USD
QCOM,Technology,2.885075487,QUALCOMM Incorporated,2.885075487,USD
R3NK.DE,Industrials,10.57603722,RENK Group AG,10.57603722,EUR
RHM.DE,Industrials,11.21312193,Rheinmetall AG,11.21312193,EUR
SAF.PA,Industrials,1.225829138,Safran SA,1.225829138,EUR
SAP.DE,Technology,11.21743877,SAP SE,11.21743877,EUR
SONY,Technology,0.107402186,Sony Group Corporation,0.107402186,USD
TKA.DE,Unknown,0.982448653,Unknown,0.982448653,Unknown
TM,Consumer Cyclical,1.91365106,Toyota Motor Corporation,1.91365106,USD
TTR1.DE,Industrials,2.517237611,technotrans SE,2.517237611,EUR
V,Financial Services,0.044832828,Visa Inc.,0.044832828,USD
VOW3.DE,Consumer Cyclical,1.961144766,Volkswagen AG,1.961144766,EUR
WCH.DE,Basic Materials,0.801098205,Wacker Chemie AG,0.801098205,EUR
WDC,Technology,2.483340141,Western Digital Corporation,2.483340141,USD
