Symbol,Sectors,Currency,Description
BARC.L,Financial Services,GBp,Barclays PLC
8TRA.DE,Industrials,EUR,Traton SE
AAPL,Technology,USD,Apple Inc.
AMD,Technology,USD,"Advanced Micro Devices, Inc."
BAC,Financial Services,USD,Bank of America Corporation
BARC.L,Financial Services,GBp,Barclays PLC
BRK-B,Financial Services,USD,Berkshire Hathaway Inc.
C,Financial Services,USD,Citigroup Inc.
CAT,Industrials,USD,Caterpillar Inc.
CSCO,Technology,USD,"Cisco Systems, Inc."
CSX,Industrials,USD,CSX Corporation
DB,Financial Services,USD,Deutsche Bank Aktiengesellschaft
DBK.DE,Financial Services,EUR,Deutsche Bank Aktiengesellschaft
DDD,Technology,USD,3D Systems Corporation
ETL.PA,Technology,EUR,Eutelsat Communications S.A.
GM,Consumer Cyclical,USD,General Motors Company
GOOG,Communication Services,USD,Alphabet Inc.
GS,Financial Services,USD,"The Goldman Sachs Group, Inc."
HAG.F,Industrials,EUR,Hensoldt AG
HPQ,Technology,USD,HP Inc.
IBKR,Financial Services,USD,"Interactive Brokers Group, Inc."
JNJ,Healthcare,USD,Johnson & Johnson
JPM,Financial Services,USD,JPMorgan Chase & Co.
MA,Financial Services,USD,Mastercard Incorporated
MOS,Basic Materials,USD,The Mosaic Company
MSFT,Technology,USD,Microsoft Corporation
MTX,Basic Materials,USD,Minerals Technologies Inc.
NVDA,Technology,USD,NVIDIA Corporation
OXY,Energy,USD,Occidental Petroleum Corporation
PYPL,Financial Services,USD,"PayPal Holdings, Inc."
R3NK.DE,Industrials,EUR,RENK Group AG
RHM.DE,Industrials,EUR,Rheinmetall AG
SAP.DE,Technology,EUR,SAP SE
SNDK,Technology,USD,Sandisk Corporation
SONY,Technology,USD,Sony Group Corporation
SSYS,Technology,USD,Stratasys Ltd.
T,Communication Services,USD,AT&T Inc.
TM,Consumer Cyclical,USD,Toyota Motor Corporation
TSLA,Consumer Cyclical,USD,"Tesla, Inc."
V,Financial Services,USD,Visa Inc.
VOW3.DE,Consumer Cyclical,EUR,Volkswagen AG
WDC,Technology,USD,Western Digital Corporation
